id,text,tags
821,"清醒是生活。","{""mood"": [""mood_reflective""], ""scene"": [""scene_universal""], ""style"": [""style_minimal""], ""purpose"": [""purpose_show_mood""], ""theme"": [""theme_philosophy""], ""relation"": ""relation_none"", ""tone_level"": 2, ""keywords"": [""清醒"", ""生活""]}"
822,"靠近阳光里 什么也不用想","{""mood"": [""mood_peaceful""], ""scene"": [""scene_nature""], ""style"": [""style_minimal""], ""purpose"": [""purpose_heal_self""], ""theme"": [""theme_sunny"", ""theme_self_love""], ""relation"": ""relation_solo"", ""tone_level"": 1, ""keywords"": [""阳光""]}"
823,"看起来就很幸福 实际也是","{""mood"": [""mood_happy""], ""scene"": [""scene_universal""], ""style"": [""style_colloquial""], ""purpose"": [""purpose_share_life""], ""theme"": [""theme_happiness""], ""relation"": ""relation_none"", ""tone_level"": 3, ""keywords"": [""幸福""]}"
824,"“废墟里的光是自己”","{""mood"": [""mood_energetic""], ""scene"": [""scene_universal""], ""style"": [""style_quote""], ""purpose"": [""purpose_heal_self""], ""theme"": [""theme_self_love""], ""relation"": ""relation_none"", ""tone_level"": 3, ""keywords"": [""废墟"", ""光""]}"
825,"“对不起老己,总是让你咽下很多莫名其妙的小情绪”","{""mood"": [""mood_emo""], ""scene"": [""scene_universal""], ""style"": [""style_quote""], ""purpose"": [""purpose_complain""], ""theme"": [""theme_self_love""], ""relation"": ""relation_solo"", ""tone_level"": 3, ""keywords"": [""小情绪""]}"
826,"“爱会垫脚也会弯腰.”","{""mood"": [""mood_reflective""], ""scene"": [""scene_universal""], ""style"": [""style_quote""], ""purpose"": [""purpose_show_mood""], ""theme"": [""theme_love""], ""relation"": ""relation_couple"", ""tone_level"": 3, ""keywords"": [""爱""]}"
827,"𐙚Happy Birthday𐙚 ̇⋆-18th","{""mood"": [""mood_happy""], ""scene"": [""scene_holiday""], ""style"": [""style_symbol_deco"", ""style_cn_en_mix""], ""purpose"": [""purpose_record""], ""theme"": [""theme_happiness""], ""relation"": ""relation_none"", ""tone_level"": 4, ""keywords"": [""生日"", ""18""]}"
828,"好幸运 我们遇见了","{""mood"": [""mood_happy""], ""scene"": [""scene_universal""], ""style"": [""style_minimal""], ""purpose"": [""purpose_show_mood""], ""theme"": [""theme_love"", ""theme_happiness""], ""relation"": ""relation_couple"", ""tone_level"": 3, ""keywords"": [""遇见""]}"
829,"一点点记录下","{""mood"": [""mood_peaceful""], ""scene"": [""scene_universal""], ""style"": [""style_minimal""], ""purpose"": [""purpose_record""], ""theme"": [], ""relation"": ""relation_none"", ""tone_level"": 1, ""keywords"": [""记录""]}"
830,"如果鱿鱼丝一种天赋(ᐢ⎚⩊⎚ᐢ)","{""mood"": [""mood_humor""], ""scene"": [""scene_universal""], ""style"": [""style_abstract"", ""style_emoji_heavy""], ""purpose"": [""purpose_share_life""], ""theme"": [], ""relation"": ""relation_none"", ""tone_level"": 3, ""keywords"": [""鱿鱼丝"", ""天赋""]}"
831,"过去来到我身边,谈论起春天。","{""mood"": [""mood_literary""], ""scene"": [""scene_universal""], ""style"": [""style_poetic""], ""purpose"": [""purpose_show_mood""], ""theme"": [""theme_season_spring"", ""theme_nostalgia""], ""relation"": ""relation_none"", ""tone_level"": 2, ""keywords"": [""春天""]}"
832,"一点一滴组成淡淡的幸福 ·ᴥ·ᐝ✌🏿","{""mood"": [""mood_healing""], ""scene"": [""scene_universal""], ""style"": [""style_emoji_heavy""], ""purpose"": [""purpose_show_mood""], ""theme"": [""theme_happiness""], ""relation"": ""relation_none"", ""tone_level"": 2, ""keywords"": [""幸福""]}"
833,"如果笨蛋会发光","{""mood"": [""mood_humor""], ""scene"": [""scene_universal""], ""style"": [""style_abstract""], ""purpose"": [""purpose_share_life""], ""theme"": [], ""relation"": ""relation_none"", ""tone_level"": 3, ""keywords"": [""笨蛋"", ""发光""]}"
834,"攒下平常 让幸福有迹可循","{""mood"": [""mood_healing""], ""scene"": [""scene_universal""], ""style"": [""style_poetic""], ""purpose"": [""purpose_show_mood""], ""theme"": [""theme_happiness""], ""relation"": ""relation_none"", ""tone_level"": 2, ""keywords"": [""幸福""]}"
835,"尽情享受我的无所事事","{""mood"": [""mood_peaceful""], ""scene"": [""scene_universal""], ""style"": [""style_minimal""], ""purpose"": [""purpose_show_mood""], ""theme"": [""theme_self_love""], ""relation"": ""relation_solo"", ""tone_level"": 2, ""keywords"": [""无所事事""]}"
836,"“读不懂的结等时间来解”","{""mood"": [""mood_reflective""], ""scene"": [""scene_universal""], ""style"": [""style_quote""], ""purpose"": [""purpose_heal_self""], ""theme"": [""theme_growth""], ""relation"": ""relation_none"", ""tone_level"": 2, ""keywords"": [""结"", ""时间""]}"
837,"永远是你","{""mood"": [""mood_romantic""], ""scene"": [""scene_universal""], ""style"": [""style_minimal""], ""purpose"": [""purpose_subtle_love""], ""theme"": [""theme_love""], ""relation"": ""relation_couple"", ""tone_level"": 3, ""keywords"": [""永远""]}"
838,"•春天和我都漫无目的","{""mood"": [""mood_literary""], ""scene"": [""scene_nature""], ""style"": [""style_symbol_deco"", ""style_poetic""], ""purpose"": [""purpose_show_mood""], ""theme"": [""theme_season_spring""], ""relation"": ""relation_none"", ""tone_level"": 2, ""keywords"": [""春天""]}"
839,"和你待着","{""mood"": [""mood_romantic""], ""scene"": [""scene_universal""], ""style"": [""style_minimal""], ""purpose"": [""purpose_subtle_love""], ""theme"": [""theme_love""], ""relation"": ""relation_couple"", ""tone_level"": 2, ""keywords"": []}"
840,"不弃我者永居我心","{""mood"": [""mood_reflective""], ""scene"": [""scene_universal""], ""style"": [""style_poetic""], ""purpose"": [""purpose_show_mood""], ""theme"": [""theme_love"", ""theme_friendship""], ""relation"": ""relation_friend"", ""tone_level"": 3, ""keywords"": [""心""]}"
841,"食食如意⋆. ̊𖦹","{""mood"": [""mood_happy""], ""scene"": [""scene_food""], ""style"": [""style_symbol_deco""], ""purpose"": [""purpose_share_life""], ""theme"": [""theme_foodie""], ""relation"": ""relation_none"", ""tone_level"": 3, ""keywords"": [""食""]}"
842,"“每天都是绝版”","{""mood"": [""mood_reflective""], ""scene"": [""scene_universal""], ""style"": [""style_quote""], ""purpose"": [""purpose_show_mood""], ""theme"": [""theme_philosophy""], ""relation"": ""relation_none"", ""tone_level"": 2, ""keywords"": [""绝版""]}"
843,"""好好等,会晚些,但会更好。""","{""mood"": [""mood_healing""], ""scene"": [""scene_universal""], ""style"": [""style_quote""], ""purpose"": [""purpose_heal_self""], ""theme"": [""theme_growth""], ""relation"": ""relation_none"", ""tone_level"": 2, ""keywords"": [""等""]}"
844,":喜欢能晒到阳光的房间","{""mood"": [""mood_peaceful""], ""scene"": [""scene_home""], ""style"": [""style_minimal""], ""purpose"": [""purpose_share_life""], ""theme"": [""theme_sunny"", ""theme_self_love""], ""relation"": ""relation_solo"", ""tone_level"": 2, ""keywords"": [""阳光"", ""房间""]}"
845,"每个年龄的我都是恰到好处的我","{""mood"": [""mood_healing""], ""scene"": [""scene_universal""], ""style"": [""style_quote""], ""purpose"": [""purpose_heal_self""], ""theme"": [""theme_self_love"", ""theme_growth""], ""relation"": ""relation_solo"", ""tone_level"": 3, ""keywords"": [""年龄""]}"
846,"积极向上的生活 热气腾腾的活着","{""mood"": [""mood_energetic""], ""scene"": [""scene_universal""], ""style"": [""style_quote""], ""purpose"": [""purpose_heal_self""], ""theme"": [""theme_self_love""], ""relation"": ""relation_none"", ""tone_level"": 4, ""keywords"": [""生活""]}"
847,"枯木逢春","{""mood"": [""mood_healing""], ""scene"": [""scene_nature""], ""style"": [""style_minimal""], ""purpose"": [""purpose_show_mood""], ""theme"": [""theme_season_spring"", ""theme_growth""], ""relation"": ""relation_none"", ""tone_level"": 2, ""keywords"": [""枯木"", ""春""]}"
848,"在这发霉的世界我想被阳光晒透","{""mood"": [""mood_healing""], ""scene"": [""scene_universal""], ""style"": [""style_poetic""], ""purpose"": [""purpose_heal_self""], ""theme"": [""theme_self_love""], ""relation"": ""relation_none"", ""tone_level"": 2, ""keywords"": [""阳光""]}"
849,"I’ve got magic beans","{""mood"": [""mood_humor""], ""scene"": [""scene_universal""], ""style"": [""style_cn_en_mix"", ""style_abstract""], ""purpose"": [""purpose_cool_pose""], ""theme"": [], ""relation"": ""relation_none"", ""tone_level"": 3, ""keywords"": [""magic beans""]}"
850,"但我有诺言尚待实现,","{""mood"": [""mood_reflective""], ""scene"": [""scene_universal""], ""style"": [""style_quote""], ""purpose"": [""purpose_show_mood""], ""theme"": [""theme_growth""], ""relation"": ""relation_none"", ""tone_level"": 2, ""keywords"": [""诺言""]}"
851,"在发什么呆","{""mood"": [""mood_humor""], ""scene"": [""scene_universal""], ""style"": [""style_minimal"", ""style_colloquial""], ""purpose"": [""purpose_interact""], ""theme"": [], ""relation"": ""relation_none"", ""tone_level"": 3, ""keywords"": []}"
852,"每年都有一个小蛋糕为我而诞生","{""mood"": [""mood_happy""], ""scene"": [""scene_holiday""], ""style"": [""style_minimal""], ""purpose"": [""purpose_share_life""], ""theme"": [""theme_happiness""], ""relation"": ""relation_none"", ""tone_level"": 3, ""keywords"": [""小蛋糕"", ""生日""]}"
853,"我觉得 还能走得更远 更坚强 更幸福","{""mood"": [""mood_energetic""], ""scene"": [""scene_universal""], ""style"": [""style_essay""], ""purpose"": [""purpose_heal_self""], ""theme"": [""theme_growth"", ""theme_self_love""], ""relation"": ""relation_none"", ""tone_level"": 3, ""keywords"": [""坚强"", ""幸福""]}"
854,"▪️别踌躇 要像太阳一样","{""mood"": [""mood_energetic""], ""scene"": [""scene_universal""], ""style"": [""style_symbol_deco"", ""style_quote""], ""purpose"": [""purpose_cool_pose""], ""theme"": [""theme_self_love""], ""relation"": ""relation_none"", ""tone_level"": 3, ""keywords"": [""太阳""]}"
855,"少管 达到目的我就忘本 达不到目的我就翻脸","{""mood"": [""mood_humor""], ""scene"": [""scene_universal""], ""style"": [""style_colloquial""], ""purpose"": [""purpose_cool_pose""], ""theme"": [], ""relation"": ""relation_none"", ""tone_level"": 4, ""keywords"": []}"
856,"嗓子好痒,买了点鸡爪伸进去挠挠。","{""mood"": [""mood_humor""], ""scene"": [""scene_universal""], ""style"": [""style_abstract""], ""purpose"": [""purpose_complain""], ""theme"": [], ""relation"": ""relation_none"", ""tone_level"": 4, ""keywords"": [""鸡爪"", ""嗓子""]}"
857,"美好的罐头不会过期","{""mood"": [""mood_healing""], ""scene"": [""scene_universal""], ""style"": [""style_poetic""], ""purpose"": [""purpose_heal_self""], ""theme"": [""theme_happiness""], ""relation"": ""relation_none"", ""tone_level"": 2, ""keywords"": [""罐头""]}"
858,"明媚澄澈的夏","{""mood"": [""mood_peaceful""], ""scene"": [""scene_nature""], ""style"": [""style_minimal"", ""style_poetic""], ""purpose"": [""purpose_show_mood""], ""theme"": [""theme_season_spring""], ""relation"": ""relation_none"", ""tone_level"": 2, ""keywords"": [""夏""]}"
859,"日記减脂日常","{""mood"": [""mood_energetic""], ""scene"": [""scene_daily""], ""style"": [""style_minimal""], ""purpose"": [""purpose_record""], ""theme"": [""theme_foodie""], ""relation"": ""relation_none"", ""tone_level"": 2, ""keywords"": [""减脂"", ""日记""]}"
860,"说爱我 让我听听鬼话","{""mood"": [""mood_humor""], ""scene"": [""scene_universal""], ""style"": [""style_colloquial""], ""purpose"": [""purpose_cool_pose""], ""theme"": [""theme_love""], ""relation"": ""relation_crush"", ""tone_level"": 4, ""keywords"": [""鬼话""]}"
861,"“亲爱的 我是一个拧巴的人.”","{""mood"": [""mood_reflective""], ""scene"": [""scene_universal""], ""style"": [""style_quote""], ""purpose"": [""purpose_show_mood""], ""theme"": [""theme_self_love""], ""relation"": ""relation_none"", ""tone_level"": 2, ""keywords"": [""拧巴""]}"
862,"我已亭亭无忧亦无惧","{""mood"": [""mood_energetic""], ""scene"": [""scene_universal""], ""style"": [""style_poetic""], ""purpose"": [""purpose_cool_pose""], ""theme"": [""theme_growth"", ""theme_self_love""], ""relation"": ""relation_none"", ""tone_level"": 3, ""keywords"": [""亭亭""]}"
863,"天生好命","{""mood"": [""mood_happy""], ""scene"": [""scene_universal""], ""style"": [""style_minimal""], ""purpose"": [""purpose_humble_brag""], ""theme"": [], ""relation"": ""relation_none"", ""tone_level"": 3, ""keywords"": [""好命""]}"
864,"在干嘛 呼吸也要跟我说一声啊ᗜ 𖥦 ᗜ","{""mood"": [""mood_romantic""], ""scene"": [""scene_universal""], ""style"": [""style_emoji_heavy"", ""style_colloquial""], ""purpose"": [""purpose_subtle_love""], ""theme"": [""theme_love""], ""relation"": ""relation_crush"", ""tone_level"": 3, ""keywords"": [""呼吸""]}"
865,"参与我的冬天","{""mood"": [""mood_romantic""], ""scene"": [""scene_season_autumn_winter""], ""style"": [""style_minimal""], ""purpose"": [""purpose_subtle_love""], ""theme"": [""theme_season_autumn_winter"", ""theme_love""], ""relation"": ""relation_crush"", ""tone_level"": 2, ""keywords"": [""冬天""]}"
866,"建议你 不要建议我","{""mood"": [""mood_humor""], ""scene"": [""scene_universal""], ""style"": [""style_minimal"", ""style_colloquial""], ""purpose"": [""purpose_cool_pose""], ""theme"": [], ""relation"": ""relation_none"", ""tone_level"": 4, ""keywords"": []}"
867,"▪️日暮黄昏 浪漫温柔","{""mood"": [""mood_romantic""], ""scene"": [""scene_night""], ""style"": [""style_symbol_deco"", ""style_poetic""], ""purpose"": [""purpose_show_mood""], ""theme"": [""theme_night_mood""], ""relation"": ""relation_none"", ""tone_level"": 2, ""keywords"": [""黄昏"", ""日暮""]}"
868,"眼睛会遗忘的东西就让相机记录吧。","{""mood"": [""mood_reflective""], ""scene"": [""scene_universal""], ""style"": [""style_quote""], ""purpose"": [""purpose_record""], ""theme"": [""theme_philosophy""], ""relation"": ""relation_none"", ""tone_level"": 2, ""keywords"": [""相机"", ""眼睛""]}"
869,"生活是快快乐乐的虚度时光","{""mood"": [""mood_peaceful""], ""scene"": [""scene_universal""], ""style"": [""style_essay""], ""purpose"": [""purpose_heal_self""], ""theme"": [""theme_happiness"", ""theme_freedom""], ""relation"": ""relation_none"", ""tone_level"": 2, ""keywords"": [""虚度时光""]}"
870,"我享受了阳光 就不能怪他把我晒黑了","{""mood"": [""mood_peaceful""], ""scene"": [""scene_nature""], ""style"": [""style_essay""], ""purpose"": [""purpose_heal_self""], ""theme"": [""theme_sunny"", ""theme_philosophy""], ""relation"": ""relation_none"", ""tone_level"": 2, ""keywords"": [""阳光""]}"
871,"“模糊不清,看不见未来,却又不能停下脚步”","{""mood"": [""mood_emo""], ""scene"": [""scene_universal""], ""style"": [""style_quote""], ""purpose"": [""purpose_show_mood""], ""theme"": [""theme_growth""], ""relation"": ""relation_none"", ""tone_level"": 3, ""keywords"": [""未来""]}"
872,"𐌇𐌀𐌐𐌐𐌖 𐌄𐌅𐌄𐌓𐌖 𐌕𐌀𐌖","{""mood"": [""mood_mysterious""], ""scene"": [""scene_universal""], ""style"": [""style_symbol_deco"", ""style_abstract""], ""purpose"": [""purpose_cool_pose""], ""theme"": [], ""relation"": ""relation_none"", ""tone_level"": 3, ""keywords"": []}"
873,"轻松营造专业又亲切的老师形象","{""mood"": [""mood_energetic""], ""scene"": [""scene_work""], ""style"": [""style_essay""], ""purpose"": [""purpose_share_life""], ""theme"": [""theme_work_life""], ""relation"": ""relation_none"", ""tone_level"": 3, ""keywords"": [""老师"", ""形象""]}"
874,"(悄悄说:样板间的软装搭配也超有参考价值!)","{""mood"": [""mood_happy""], ""scene"": [""scene_home""], ""style"": [""style_colloquial""], ""purpose"": [""purpose_share_life""], ""theme"": [], ""relation"": ""relation_none"", ""tone_level"": 2, ""keywords"": [""样板间"", ""软装""]}"
875,"爱诞生于每一次垂眸相视的瞬间里","{""mood"": [""mood_romantic""], ""scene"": [""scene_universal""], ""style"": [""style_poetic""], ""purpose"": [""purpose_show_mood""], ""theme"": [""theme_love""], ""relation"": ""relation_couple"", ""tone_level"": 2, ""keywords"": [""爱"", ""垂眸""]}"
876,"混乱是你成长的一部分","{""mood"": [""mood_reflective""], ""scene"": [""scene_universal""], ""style"": [""style_quote""], ""purpose"": [""purpose_heal_self""], ""theme"": [""theme_growth""], ""relation"": ""relation_none"", ""tone_level"": 2, ""keywords"": [""混乱"", ""成长""]}"
877,"我说幸福就是你在我身边w3","{""mood"": [""mood_romantic""], ""scene"": [""scene_universal""], ""style"": [""style_essay"", ""style_symbol_deco""], ""purpose"": [""purpose_subtle_love""], ""theme"": [""theme_love"", ""theme_happiness""], ""relation"": ""relation_couple"", ""tone_level"": 3, ""keywords"": [""幸福""]}"
878,"散漫日常比将就更快乐","{""mood"": [""mood_peaceful""], ""scene"": [""scene_daily""], ""style"": [""style_minimal""], ""purpose"": [""purpose_heal_self""], ""theme"": [""theme_freedom"", ""theme_self_love""], ""relation"": ""relation_none"", ""tone_level"": 2, ""keywords"": [""散漫"", ""将就""]}"
879,"小得盈满爱逢其时","{""mood"": [""mood_romantic""], ""scene"": [""scene_universal""], ""style"": [""style_poetic""], ""purpose"": [""purpose_show_mood""], ""theme"": [""theme_love"", ""theme_happiness""], ""relation"": ""relation_couple"", ""tone_level"": 2, ""keywords"": [""小得盈满"", ""爱""]}"
880,"◾️安静的人想很多","{""mood"": [""mood_reflective""], ""scene"": [""scene_universal""], ""style"": [""style_symbol_deco"", ""style_minimal""], ""purpose"": [""purpose_show_mood""], ""theme"": [""theme_night_mood""], ""relation"": ""relation_none"", ""tone_level"": 2, ""keywords"": [""安静""]}"
881,"镜头反转 对准我们","{""mood"": [""mood_romantic""], ""scene"": [""scene_selfie""], ""style"": [""style_minimal""], ""purpose"": [""purpose_subtle_love""], ""theme"": [""theme_love""], ""relation"": ""relation_couple"", ""tone_level"": 2, ""keywords"": [""镜头""]}"
882,"“片刻的幸福总被铭记很久了.”","{""mood"": [""mood_reflective""], ""scene"": [""scene_universal""], ""style"": [""style_quote""], ""purpose"": [""purpose_show_mood""], ""theme"": [""theme_happiness"", ""theme_nostalgia""], ""relation"": ""relation_none"", ""tone_level"": 2, ""keywords"": [""幸福""]}"
883,"安静的 模糊的有光影的 有风的 自由的 带着情绪的 我闭眼感受着这份安逸","{""mood"": [""mood_peaceful""], ""scene"": [""scene_nature""], ""style"": [""style_essay"", ""style_poetic""], ""purpose"": [""purpose_heal_self""], ""theme"": [""theme_freedom"", ""theme_night_mood""], ""relation"": ""relation_solo"", ""tone_level"": 2, ""keywords"": [""光影"", ""风"", ""安逸""]}"
884,"生活不是形容词 是动词","{""mood"": [""mood_energetic""], ""scene"": [""scene_universal""], ""style"": [""style_quote""], ""purpose"": [""purpose_heal_self""], ""theme"": [""theme_philosophy""], ""relation"": ""relation_none"", ""tone_level"": 3, ""keywords"": [""生活"", ""动词""]}"
885,"一懒众衫小薪尽自然凉.","{""mood"": [""mood_humor""], ""scene"": [""scene_universal""], ""style"": [""style_colloquial""], ""purpose"": [""purpose_cool_pose""], ""theme"": [""theme_work_life""], ""relation"": ""relation_none"", ""tone_level"": 4, ""keywords"": [""懒"", ""薪""]}"
886,"我们拉勾 头抵着头 发小小的誓 于是时间有了柔软的刻度","{""mood"": [""mood_romantic""], ""scene"": [""scene_universal""], ""style"": [""style_poetic""], ""purpose"": [""purpose_subtle_love""], ""theme"": [""theme_love""], ""relation"": ""relation_couple"", ""tone_level"": 2, ""keywords"": [""拉勾"", ""时间""]}"
887,"我是一个铁骨铮铮小蝴蝶","{""mood"": [""mood_humor""], ""scene"": [""scene_universal""], ""style"": [""style_abstract""], ""purpose"": [""purpose_cool_pose""], ""theme"": [], ""relation"": ""relation_none"", ""tone_level"": 3, ""keywords"": [""铁骨铮铮"", ""小蝴蝶""]}"
888,"“昨天的暴雨淋不湿今天的我.”","{""mood"": [""mood_reflective""], ""scene"": [""scene_universal""], ""style"": [""style_quote""], ""purpose"": [""purpose_heal_self""], ""theme"": [""theme_growth""], ""relation"": ""relation_none"", ""tone_level"": 3, ""keywords"": [""暴雨"", ""昨天""]}"
889,"幸运色、幸运小物、幸运美食","{""mood"": [""mood_peaceful""], ""scene"": [""scene_universal""], ""style"": [""style_minimal""], ""purpose"": [""purpose_share_life""], ""theme"": [], ""relation"": ""relation_none"", ""tone_level"": 1, ""keywords"": [""幸运色"", ""幸运小物"", ""幸运美食""]}"
890,"水象的家,感觉至上","{""mood"": [""mood_mysterious""], ""scene"": [""scene_universal""], ""style"": [""style_minimal""], ""purpose"": [""purpose_cool_pose""], ""theme"": [], ""relation"": ""relation_none"", ""tone_level"": 2, ""keywords"": [""水象"", ""感觉""]}"
891,"说着幸福吧 就会幸福的","{""mood"": [""mood_healing""], ""scene"": [""scene_universal""], ""style"": [""style_quote""], ""purpose"": [""purpose_heal_self""], ""theme"": [""theme_happiness""], ""relation"": ""relation_none"", ""tone_level"": 2, ""keywords"": [""幸福""]}"
892,"随时随地为这个世界停下来","{""mood"": [""mood_peaceful""], ""scene"": [""scene_universal""], ""style"": [""style_poetic""], ""purpose"": [""purpose_show_mood""], ""theme"": [""theme_freedom""], ""relation"": ""relation_none"", ""tone_level"": 2, ""keywords"": [""世界""]}"
893,"你羞涩地拍下相片纸","{""mood"": [""mood_romantic""], ""scene"": [""scene_universal""], ""style"": [""style_poetic""], ""purpose"": [""purpose_subtle_love""], ""theme"": [""theme_love""], ""relation"": ""relation_crush"", ""tone_level"": 2, ""keywords"": [""相片""]}"
894,"📝碎碎念:","{""mood"": [""mood_peaceful""], ""scene"": [""scene_daily""], ""style"": [""style_emoji_heavy""], ""purpose"": [""purpose_record""], ""theme"": [], ""relation"": ""relation_none"", ""tone_level"": 1, ""keywords"": [""碎碎念""]}"
895,"按下播放鍵 我們現場見.。+ ̊♪o· ̊","{""mood"": [""mood_energetic""], ""scene"": [""scene_music""], ""style"": [""style_symbol_deco""], ""purpose"": [""purpose_share_life""], ""theme"": [], ""relation"": ""relation_none"", ""tone_level"": 3, ""keywords"": [""播放键"", ""现场""]}"
896,"长大以后,又被另一种声音推着走。要成长、要进步、要有效率,连停下来喘口气,都得给自己找一个足够正当的理由。","{""mood"": [""mood_reflective""], ""scene"": [""scene_universal""], ""style"": [""style_essay""], ""purpose"": [""purpose_show_mood""], ""theme"": [""theme_growth"", ""theme_philosophy""], ""relation"": ""relation_none"", ""tone_level"": 3, ""keywords"": [""长大"", ""成长"", ""进步""]}"
897,"“遇到对的人 就越活越开心咯”","{""mood"": [""mood_happy""], ""scene"": [""scene_universal""], ""style"": [""style_quote""], ""purpose"": [""purpose_show_mood""], ""theme"": [""theme_love"", ""theme_happiness""], ""relation"": ""relation_couple"", ""tone_level"": 3, ""keywords"": [""对的人"", ""开心""]}"
898,"你问我幸福与否 我说细水长流","{""mood"": [""mood_peaceful""], ""scene"": [""scene_universal""], ""style"": [""style_poetic""], ""purpose"": [""purpose_show_mood""], ""theme"": [""theme_love"", ""theme_happiness""], ""relation"": ""relation_couple"", ""tone_level"": 2, ""keywords"": [""幸福"", ""细水长流""]}"
899,"需要的宝宝可以自取哦~","{""mood"": [""mood_healing""], ""scene"": [""scene_universal""], ""style"": [""style_colloquial""], ""purpose"": [""purpose_interact""], ""theme"": [], ""relation"": ""relation_none"", ""tone_level"": 2, ""keywords"": [""自取""]}"
900,"🪞「在他们身上,我常常看见从前那个同样渴望知识的自己」","{""mood"": [""mood_reflective""], ""scene"": [""scene_universal""], ""style"": [""style_quote""], ""purpose"": [""purpose_show_mood""], ""theme"": [""theme_growth""], ""relation"": ""relation_none"", ""tone_level"": 2, ""keywords"": [""知识""]}"
901,"🍥 + ♡+⋆亚米亚米 我要开动啦🍽️","{""mood"": [""mood_happy""], ""scene"": [""scene_food""], ""style"": [""style_emoji_heavy""], ""purpose"": [""purpose_share_life""], ""theme"": [""theme_foodie""], ""relation"": ""relation_none"", ""tone_level"": 4, ""keywords"": [""亚米"", ""开动""]}"
902,"日常事日常是","{""mood"": [""mood_peaceful""], ""scene"": [""scene_daily""], ""style"": [""style_minimal""], ""purpose"": [""purpose_record""], ""theme"": [], ""relation"": ""relation_none"", ""tone_level"": 1, ""keywords"": [""日常""]}"
903,"叽叽喳喳的见面太欢乐啦","{""mood"": [""mood_happy""], ""scene"": [""scene_social""], ""style"": [""style_colloquial""], ""purpose"": [""purpose_share_life""], ""theme"": [""theme_friendship""], ""relation"": ""relation_friend"", ""tone_level"": 4, ""keywords"": [""见面"", ""欢乐""]}"
904,"“生命几许 遵从自己”","{""mood"": [""mood_reflective""], ""scene"": [""scene_universal""], ""style"": [""style_quote""], ""purpose"": [""purpose_cool_pose""], ""theme"": [""theme_philosophy"", ""theme_self_love""], ""relation"": ""relation_none"", ""tone_level"": 2, ""keywords"": [""生命"", ""自己""]}"
905,"“与春同频,与冬同陨”","{""mood"": [""mood_literary""], ""scene"": [""scene_nature""], ""style"": [""style_poetic""], ""purpose"": [""purpose_show_mood""], ""theme"": [""theme_season_spring"", ""theme_season_autumn_winter""], ""relation"": ""relation_none"", ""tone_level"": 2, ""keywords"": [""春"", ""冬""]}"
906,"家的主角当得超爽","{""mood"": [""mood_happy""], ""scene"": [""scene_home""], ""style"": [""style_colloquial""], ""purpose"": [""purpose_share_life""], ""theme"": [""theme_happiness""], ""relation"": ""relation_none"", ""tone_level"": 3, ""keywords"": [""家""]}"
907,"""频繁的记录着 依然追不上你成长的步伐""","{""mood"": [""mood_reflective""], ""scene"": [""scene_universal""], ""style"": [""style_quote""], ""purpose"": [""purpose_show_mood""], ""theme"": [""theme_growth"", ""theme_family""], ""relation"": ""relation_family"", ""tone_level"": 3, ""keywords"": [""记录"", ""成长""]}"
908,"“人在快乐的时候人会变的醉醺醺.”","{""mood"": [""mood_happy""], ""scene"": [""scene_universal""], ""style"": [""style_quote""], ""purpose"": [""purpose_show_mood""], ""theme"": [""theme_happiness""], ""relation"": ""relation_none"", ""tone_level"": 3, ""keywords"": [""快乐"", ""醉醺醺""]}"
909,"但做了妈妈以后","{""mood"": [""mood_reflective""], ""scene"": [""scene_universal""], ""style"": [""style_minimal""], ""purpose"": [""purpose_show_mood""], ""theme"": [""theme_family""], ""relation"": ""relation_family"", ""tone_level"": 2, ""keywords"": [""妈妈""]}"
910,"“我们在世上 是为了感受阳光.”","{""mood"": [""mood_healing""], ""scene"": [""scene_universal""], ""style"": [""style_quote""], ""purpose"": [""purpose_heal_self""], ""theme"": [""theme_happiness"", ""theme_sunny""], ""relation"": ""relation_none"", ""tone_level"": 2, ""keywords"": [""阳光""]}"
911,"记录每每每每每一天","{""mood"": [""mood_peaceful""], ""scene"": [""scene_daily""], ""style"": [""style_minimal""], ""purpose"": [""purpose_record""], ""theme"": [], ""relation"": ""relation_none"", ""tone_level"": 1, ""keywords"": [""记录""]}"
912,"我的胡思乱想可以织25件毛衣!","{""mood"": [""mood_humor""], ""scene"": [""scene_universal""], ""style"": [""style_abstract""], ""purpose"": [""purpose_cool_pose""], ""theme"": [], ""relation"": ""relation_none"", ""tone_level"": 3, ""keywords"": [""胡思乱想"", ""毛衣""]}"
913,"幸福就像一滴水 慢慢浸佢慢慢漫浸叹佢","{""mood"": [""mood_peaceful""], ""scene"": [""scene_universal""], ""style"": [""style_poetic""], ""purpose"": [""purpose_show_mood""], ""theme"": [""theme_happiness""], ""relation"": ""relation_none"", ""tone_level"": 2, ""keywords"": [""幸福"", ""水""]}"
914,"▪️逃不掉的大肥肉子🥓","{""mood"": [""mood_humor""], ""scene"": [""scene_food""], ""style"": [""style_symbol_deco""], ""purpose"": [""purpose_share_life""], ""theme"": [""theme_foodie""], ""relation"": ""relation_none"", ""tone_level"": 3, ""keywords"": [""大肥肉""]}"
